# r-coordinate 	 ur 	 utheta
2.01681e+02 	 1.65579e-03 	 1.78231e-05
2.02948e+02 	 1.59767e-03 	 1.72202e-05
2.04223e+02 	 1.54144e-03 	 1.66427e-05
2.05506e+02 	 1.48704e-03 	 1.60896e-05
2.06797e+02 	 1.43442e-03 	 1.55597e-05
2.08097e+02 	 1.38355e-03 	 1.50523e-05
2.09404e+02 	 1.33436e-03 	 1.45662e-05
2.10720e+02 	 1.28682e-03 	 1.41005e-05
2.12044e+02 	 1.24088e-03 	 1.36545e-05
2.13376e+02 	 1.19649e-03 	 1.32272e-05
2.14717e+02 	 1.15361e-03 	 1.28179e-05
2.16066e+02 	 1.11219e-03 	 1.24257e-05
2.17424e+02 	 1.07219e-03 	 1.20499e-05
2.18790e+02 	 1.03356e-03 	 1.16898e-05
2.20164e+02 	 9.96271e-04 	 1.13446e-05
2.21548e+02 	 9.60268e-04 	 1.10138e-05
2.22940e+02 	 9.25516e-04 	 1.06966e-05
2.24341e+02 	 8.91976e-04 	 1.03925e-05
2.25750e+02 	 8.59607e-04 	 1.01008e-05
2.27169e+02 	 8.28372e-04 	 9.82107e-06
2.28596e+02 	 7.98235e-04 	 9.55265e-06
2.30032e+02 	 7.69159e-04 	 9.29505e-06
2.31478e+02 	 7.41110e-04 	 9.04777e-06
2.32932e+02 	 7.14052e-04 	 8.81034e-06
2.34396e+02 	 6.87954e-04 	 8.58230e-06
2.35868e+02 	 6.62783e-04 	 8.36321e-06
2.37350e+02 	 6.38508e-04 	 8.15264e-06
2.38842e+02 	 6.15097e-04 	 7.95019e-06
2.40342e+02 	 5.92523e-04 	 7.75549e-06
2.41852e+02 	 5.70757e-04 	 7.56816e-06
2.43372e+02 	 5.49770e-04 	 7.38784e-06
2.44901e+02 	 5.29537e-04 	 7.21421e-06
2.46440e+02 	 5.10031e-04 	 7.04693e-06
2.47988e+02 	 4.91227e-04 	 6.88571e-06
2.49547e+02 	 4.73101e-04 	 6.73025e-06
2.51114e+02 	 4.55630e-04 	 6.58027e-06
2.52692e+02 	 4.38791e-04 	 6.43550e-06
2.54280e+02 	 4.22563e-04 	 6.29569e-06
2.55878e+02 	 4.06923e-04 	 6.16060e-06
2.57485e+02 	 3.91852e-04 	 6.02999e-06
2.59103e+02 	 3.77330e-04 	 5.90365e-06
2.60731e+02 	 3.63338e-04 	 5.78136e-06
2.62369e+02 	 3.49857e-04 	 5.66293e-06
2.64018e+02 	 3.36871e-04 	 5.54816e-06
2.65677e+02 	 3.24361e-04 	 5.43688e-06
2.67346e+02 	 3.12311e-04 	 5.32891e-06
2.69026e+02 	 3.00705e-04 	 5.22410e-06
2.70716e+02 	 2.89528e-04 	 5.12228e-06
2.72417e+02 	 2.78765e-04 	 5.02331e-06
2.74129e+02 	 2.68402e-04 	 4.92705e-06
2.75851e+02 	 2.58424e-04 	 4.83337e-06
2.77584e+02 	 2.48818e-04 	 4.74214e-06
2.79329e+02 	 2.39572e-04 	 4.65325e-06
2.81084e+02 	 2.30673e-04 	 4.56658e-06
2.82850e+02 	 2.22109e-04 	 4.48203e-06
2.84627e+02 	 2.13868e-04 	 4.39949e-06
2.86415e+02 	 2.05939e-04 	 4.31888e-06
2.88215e+02 	 1.98311e-04 	 4.24010e-06
2.90026e+02 	 1.90974e-04 	 4.16307e-06
2.91848e+02 	 1.83917e-04 	 4.08771e-06
2.93682e+02 	 1.77131e-04 	 4.01394e-06
2.95527e+02 	 1.70606e-04 	 3.94170e-06
2.97384e+02 	 1.64333e-04 	 3.87091e-06
2.99252e+02 	 1.58303e-04 	 3.80152e-06
3.01133e+02 	 1.52508e-04 	 3.73347e-06
3.03025e+02 	 1.46939e-04 	 3.66669e-06
3.04929e+02 	 1.41588e-04 	 3.60115e-06
3.06845e+02 	 1.36448e-04 	 3.53679e-06
3.08773e+02 	 1.31510e-04 	 3.47356e-06
3.10713e+02 	 1.26768e-04 	 3.41143e-06
3.12665e+02 	 1.22214e-04 	 3.35035e-06
3.14630e+02 	 1.17842e-04 	 3.29028e-06
3.16606e+02 	 1.13645e-04 	 3.23120e-06
3.18596e+02 	 1.09616e-04 	 3.17307e-06
3.20598e+02 	 1.05749e-04 	 3.11585e-06
3.22612e+02 	 1.02038e-04 	 3.05952e-06
3.24639e+02 	 9.84773e-05 	 3.00406e-06
3.26679e+02 	 9.50611e-05 	 2.94944e-06
3.28731e+02 	 9.17838e-05 	 2.89563e-06
3.30797e+02 	 8.86400e-05 	 2.84262e-06
3.32875e+02 	 8.56245e-05 	 2.79038e-06
3.34967e+02 	 8.27323e-05 	 2.73890e-06
3.37071e+02 	 7.99583e-05 	 2.68816e-06
3.39189e+02 	 7.72980e-05 	 2.63813e-06
3.41320e+02 	 7.47465e-05 	 2.58881e-06
3.43465e+02 	 7.22995e-05 	 2.54019e-06
3.45623e+02 	 6.99526e-05 	 2.49224e-06
3.47795e+02 	 6.77017e-05 	 2.44495e-06
3.49980e+02 	 6.55425e-05 	 2.39832e-06
3.52179e+02 	 6.34712e-05 	 2.35232e-06
3.54392e+02 	 6.14839e-05 	 2.30695e-06
3.56618e+02 	 5.95769e-05 	 2.26221e-06
3.58859e+02 	 5.77467e-05 	 2.21807e-06
3.61114e+02 	 5.59897e-05 	 2.17452e-06
3.63383e+02 	 5.43026e-05 	 2.13156e-06
3.65666e+02 	 5.26822e-05 	 2.08919e-06
3.67964e+02 	 5.11253e-05 	 2.04738e-06
3.70276e+02 	 4.96290e-05 	 2.00612e-06
3.72602e+02 	 4.81902e-05 	 1.96542e-06
3.74943e+02 	 4.68062e-05 	 1.92526e-06
3.77299e+02 	 4.54743e-05 	 1.88563e-06
3.79670e+02 	 4.41918e-05 	 1.84652e-06
3.82055e+02 	 4.29563e-05 	 1.80793e-06
3.84456e+02 	 4.17655e-05 	 1.76984e-06
3.86871e+02 	 4.06168e-05 	 1.73224e-06
3.89302e+02 	 3.95083e-05 	 1.69513e-06
3.91748e+02 	 3.84377e-05 	 1.65849e-06
3.94210e+02 	 3.74030e-05 	 1.62233e-06
3.96687e+02 	 3.64024e-05 	 1.58661e-06
3.99179e+02 	 3.54339e-05 	 1.55135e-06
4.01687e+02 	 3.44958e-05 	 1.51652e-06
4.04211e+02 	 3.35865e-05 	 1.48211e-06
4.06751e+02 	 3.27043e-05 	 1.44813e-06
4.09306e+02 	 3.18479e-05 	 1.41455e-06
4.11878e+02 	 3.10157e-05 	 1.38137e-06
4.14466e+02 	 3.02064e-05 	 1.34857e-06
4.17070e+02 	 2.94188e-05 	 1.31615e-06
4.19691e+02 	 2.86517e-05 	 1.28410e-06
4.22328e+02 	 2.79039e-05 	 1.25240e-06
4.24981e+02 	 2.71745e-05 	 1.22105e-06
4.27652e+02 	 2.64625e-05 	 1.19003e-06
4.30339e+02 	 2.57669e-05 	 1.15934e-06
4.33042e+02 	 2.50870e-05 	 1.12897e-06
4.35763e+02 	 2.44219e-05 	 1.09891e-06
4.38501e+02 	 2.37709e-05 	 1.06914e-06
4.41257e+02 	 2.31335e-05 	 1.03967e-06
4.44029e+02 	 2.25089e-05 	 1.01047e-06
4.46819e+02 	 2.18966e-05 	 9.81552e-07
4.49626e+02 	 2.12962e-05 	 9.52895e-07
4.52451e+02 	 2.07071e-05 	 9.24497e-07
4.55294e+02 	 2.01291e-05 	 8.96349e-07
4.58155e+02 	 1.95616e-05 	 8.68446e-07
4.61034e+02 	 1.90044e-05 	 8.40781e-07
4.63930e+02 	 1.84573e-05 	 8.13350e-07
4.66845e+02 	 1.79199e-05 	 7.86147e-07
4.69779e+02 	 1.73920e-05 	 7.59168e-07
4.72730e+02 	 1.68735e-05 	 7.32411e-07
4.75701e+02 	 1.63642e-05 	 7.05871e-07
4.78690e+02 	 1.58640e-05 	 6.79547e-07
4.81697e+02 	 1.53728e-05 	 6.53437e-07
4.84724e+02 	 1.48904e-05 	 6.27541e-07
4.87769e+02 	 1.44169e-05 	 6.01858e-07
4.90834e+02 	 1.39522e-05 	 5.76390e-07
4.93918e+02 	 1.34961e-05 	 5.51136e-07
4.97022e+02 	 1.30488e-05 	 5.26100e-07
5.00144e+02 	 1.26103e-05 	 5.01285e-07
5.03287e+02 	 1.21804e-05 	 4.76693e-07
5.06449e+02 	 1.17592e-05 	 4.52330e-07
5.09631e+02 	 1.13468e-05 	 4.28200e-07
5.12833e+02 	 1.09430e-05 	 4.04308e-07
5.16056e+02 	 1.05481e-05 	 3.80662e-07
5.19298e+02 	 1.01619e-05 	 3.57268e-07
5.22561e+02 	 9.78445e-06 	 3.34133e-07
5.25844e+02 	 9.41582e-06 	 3.11267e-07
5.29148e+02 	 9.05599e-06 	 2.88677e-07
5.32473e+02 	 8.70497e-06 	 2.66372e-07
5.35819e+02 	 8.36277e-06 	 2.44363e-07
5.39185e+02 	 8.02936e-06 	 2.22660e-07
5.42573e+02 	 7.70475e-06 	 2.01273e-07
5.45982e+02 	 7.38892e-06 	 1.80213e-07
5.49413e+02 	 7.08183e-06 	 1.59492e-07
5.52865e+02 	 6.78345e-06 	 1.39120e-07
5.56339e+02 	 6.49375e-06 	 1.19110e-07
5.59834e+02 	 6.21266e-06 	 9.94734e-08
5.63352e+02 	 5.94012e-06 	 8.02221e-08
5.66891e+02 	 5.67608e-06 	 6.13683e-08
5.70453e+02 	 5.42044e-06 	 4.29240e-08
5.74037e+02 	 5.17312e-06 	 2.49012e-08
5.77644e+02 	 4.93402e-06 	 7.31190e-09
5.81274e+02 	 4.70305e-06 	 -9.83210e-09
5.84926e+02 	 4.48008e-06 	 -2.65192e-08
5.88601e+02 	 4.26501e-06 	 -4.27379e-08
5.92299e+02 	 4.05769e-06 	 -5.84773e-08
5.96021e+02 	 3.85800e-06 	 -7.37264e-08
5.99766e+02 	 3.66580e-06 	 -8.84749e-08
6.03534e+02 	 3.48094e-06 	 -1.02713e-07
6.07326e+02 	 3.30327e-06 	 -1.16430e-07
6.11142e+02 	 3.13263e-06 	 -1.29619e-07
6.14982e+02 	 2.96886e-06 	 -1.42269e-07
6.18846e+02 	 2.81180e-06 	 -1.54373e-07
6.22735e+02 	 2.66127e-06 	 -1.65924e-07
6.26647e+02 	 2.51711e-06 	 -1.76915e-07
6.30585e+02 	 2.37915e-06 	 -1.87340e-07
6.34547e+02 	 2.24721e-06 	 -1.97192e-07
6.38534e+02 	 2.12111e-06 	 -2.06468e-07
6.42546e+02 	 2.00068e-06 	 -2.15163e-07
6.46583e+02 	 1.88575e-06 	 -2.23273e-07
6.50646e+02 	 1.77613e-06 	 -2.30797e-07
6.54734e+02 	 1.67165e-06 	 -2.37731e-07
6.58848e+02 	 1.57214e-06 	 -2.44076e-07
6.62987e+02 	 1.47742e-06 	 -2.49830e-07
6.67153e+02 	 1.38732e-06 	 -2.54993e-07
6.71345e+02 	 1.30168e-06 	 -2.59568e-07
6.75563e+02 	 1.22033e-06 	 -2.63555e-07
6.79808e+02 	 1.14309e-06 	 -2.66959e-07
6.84079e+02 	 1.06983e-06 	 -2.69781e-07
6.88377e+02 	 1.00036e-06 	 -2.72027e-07
6.92702e+02 	 9.34551e-07 	 -2.73701e-07
6.97055e+02 	 8.72237e-07 	 -2.74810e-07
7.01434e+02 	 8.13273e-07 	 -2.75360e-07
7.05842e+02 	 7.57516e-07 	 -2.75359e-07
7.10277e+02 	 7.04825e-07 	 -2.74815e-07
7.14739e+02 	 6.55061e-07 	 -2.73737e-07
7.19230e+02 	 6.08092e-07 	 -2.72134e-07
