# r-coordinate 	 ur 	 utheta
1.99170e+02 	 2.35622e-03 	 -4.94421e-07
2.00421e+02 	 2.29944e-03 	 -4.71900e-07
2.01681e+02 	 2.24410e-03 	 -4.50172e-07
2.02948e+02 	 2.19015e-03 	 -4.29204e-07
2.04223e+02 	 2.13757e-03 	 -4.08963e-07
2.05506e+02 	 2.08632e-03 	 -3.89421e-07
2.06797e+02 	 2.03637e-03 	 -3.70548e-07
2.08097e+02 	 1.98768e-03 	 -3.52317e-07
2.09404e+02 	 1.94024e-03 	 -3.34701e-07
2.10720e+02 	 1.89399e-03 	 -3.17675e-07
2.12044e+02 	 1.84892e-03 	 -3.01216e-07
2.13376e+02 	 1.80499e-03 	 -2.85301e-07
2.14717e+02 	 1.76217e-03 	 -2.69908e-07
2.16066e+02 	 1.72044e-03 	 -2.55016e-07
2.17424e+02 	 1.67976e-03 	 -2.40605e-07
2.18790e+02 	 1.64011e-03 	 -2.26657e-07
2.20164e+02 	 1.60146e-03 	 -2.13154e-07
2.21548e+02 	 1.56378e-03 	 -2.00078e-07
2.22940e+02 	 1.52705e-03 	 -1.87414e-07
2.24341e+02 	 1.49123e-03 	 -1.75145e-07
2.25750e+02 	 1.45632e-03 	 -1.63256e-07
2.27169e+02 	 1.42228e-03 	 -1.51735e-07
2.28596e+02 	 1.38908e-03 	 -1.40567e-07
2.30032e+02 	 1.35671e-03 	 -1.29739e-07
2.31478e+02 	 1.32514e-03 	 -1.19239e-07
2.32932e+02 	 1.29436e-03 	 -1.09056e-07
2.34396e+02 	 1.26433e-03 	 -9.91790e-08
2.35868e+02 	 1.23504e-03 	 -8.95967e-08
2.37350e+02 	 1.20647e-03 	 -8.02995e-08
2.38842e+02 	 1.17860e-03 	 -7.12779e-08
2.40342e+02 	 1.15141e-03 	 -6.25226e-08
2.41852e+02 	 1.12488e-03 	 -5.40252e-08
2.43372e+02 	 1.09900e-03 	 -4.57774e-08
2.44901e+02 	 1.07374e-03 	 -3.77713e-08
2.46440e+02 	 1.04909e-03 	 -2.99996e-08
2.47988e+02 	 1.02503e-03 	 -2.24552e-08
2.49547e+02 	 1.00156e-03 	 -1.51313e-08
2.51114e+02 	 9.78640e-04 	 -8.02152e-09
2.52692e+02 	 9.56270e-04 	 -1.11983e-09
2.54280e+02 	 9.34433e-04 	 5.57959e-09
2.55878e+02 	 9.13114e-04 	 1.20822e-08
2.57485e+02 	 8.92300e-04 	 1.83933e-08
2.59103e+02 	 8.71976e-04 	 2.45177e-08
2.60731e+02 	 8.52131e-04 	 3.04603e-08
2.62369e+02 	 8.32751e-04 	 3.62254e-08
2.64018e+02 	 8.13825e-04 	 4.18174e-08
2.65677e+02 	 7.95341e-04 	 4.72402e-08
2.67346e+02 	 7.77286e-04 	 5.24977e-08
2.69026e+02 	 7.59651e-04 	 5.75935e-08
2.70716e+02 	 7.42424e-04 	 6.25310e-08
2.72417e+02 	 7.25594e-04 	 6.73135e-08
2.74129e+02 	 7.09152e-04 	 7.19441e-08
2.75851e+02 	 6.93088e-04 	 7.64257e-08
2.77584e+02 	 6.77392e-04 	 8.07610e-08
2.79329e+02 	 6.62054e-04 	 8.49526e-08
2.81084e+02 	 6.47066e-04 	 8.90031e-08
2.82850e+02 	 6.32419e-04 	 9.29148e-08
2.84627e+02 	 6.18105e-04 	 9.66898e-08
2.86415e+02 	 6.04114e-04 	 1.00330e-07
2.88215e+02 	 5.90439e-04 	 1.03838e-07
2.90026e+02 	 5.77073e-04 	 1.07215e-07
2.91848e+02 	 5.64007e-04 	 1.10463e-07
2.93682e+02 	 5.51234e-04 	 1.13583e-07
2.95527e+02 	 5.38747e-04 	 1.16578e-07
2.97384e+02 	 5.26540e-04 	 1.19447e-07
2.99252e+02 	 5.14604e-04 	 1.22194e-07
3.01133e+02 	 5.02934e-04 	 1.24819e-07
3.03025e+02 	 4.91523e-04 	 1.27323e-07
3.04929e+02 	 4.80365e-04 	 1.29707e-07
3.06845e+02 	 4.69454e-04 	 1.31972e-07
3.08773e+02 	 4.58785e-04 	 1.34119e-07
3.10713e+02 	 4.48350e-04 	 1.36150e-07
3.12665e+02 	 4.38145e-04 	 1.38064e-07
3.14630e+02 	 4.28164e-04 	 1.39863e-07
3.16606e+02 	 4.18403e-04 	 1.41546e-07
3.18596e+02 	 4.08855e-04 	 1.43116e-07
3.20598e+02 	 3.99516e-04 	 1.44571e-07
3.22612e+02 	 3.90381e-04 	 1.45913e-07
3.24639e+02 	 3.81445e-04 	 1.47142e-07
3.26679e+02 	 3.72704e-04 	 1.48259e-07
3.28731e+02 	 3.64154e-04 	 1.49264e-07
