0 	 1.23734e+02 	 -4.86126e-04 	 -2.59861e-02
1000 	 1.22961e+02 	 -1.95639e-04 	 -2.69247e-02
2000 	 1.22961e+02 	 -1.19980e-05 	 -2.65343e-02
3000 	 1.22193e+02 	 -7.30901e-04 	 -2.73658e-02
4000 	 1.22193e+02 	 -4.66971e-05 	 -2.71155e-02
5000 	 1.22193e+02 	 -1.43961e-04 	 -2.67540e-02
6000 	 1.21430e+02 	 -8.49069e-05 	 -2.76802e-02
7000 	 1.21430e+02 	 -6.36984e-04 	 -2.78343e-02
8000 	 1.20672e+02 	 -6.59123e-04 	 -2.75824e-02
9000 	 1.20672e+02 	 -2.64690e-05 	 -2.75028e-02
10000 	 1.20672e+02 	 -1.47520e-04 	 -2.72212e-02
11000 	 1.19919e+02 	 -6.14236e-04 	 -2.76225e-02
12000 	 1.19919e+02 	 -1.56250e-05 	 -2.76818e-02
13000 	 1.19919e+02 	 -5.82386e-04 	 -2.80797e-02
14000 	 1.19170e+02 	 -5.16531e-06 	 -2.68628e-02
15000 	 1.19170e+02 	 -4.97873e-05 	 -2.82213e-02
16000 	 1.19170e+02 	 2.84495e-05 	 -2.75856e-02
17000 	 1.19170e+02 	 -1.08958e-04 	 -2.74730e-02
18000 	 1.18426e+02 	 7.34800e-06 	 -2.70212e-02
19000 	 1.18426e+02 	 -4.25935e-04 	 -2.82965e-02
20000 	 1.18426e+02 	 3.75138e-07 	 -2.80871e-02
21000 	 1.18426e+02 	 5.74949e-05 	 -2.76029e-02
22000 	 1.18426e+02 	 -5.30835e-04 	 -2.83399e-02
23000 	 1.18426e+02 	 -9.01125e-06 	 -2.71672e-02
24000 	 1.17686e+02 	 6.98438e-05 	 -2.69166e-02
25000 	 1.17686e+02 	 -4.95185e-04 	 -2.78184e-02
26000 	 1.17686e+02 	 -4.34180e-06 	 -2.83950e-02
27000 	 1.17686e+02 	 3.29313e-05 	 -2.80790e-02
28000 	 1.17686e+02 	 6.77427e-05 	 -2.77751e-02
29000 	 1.17686e+02 	 1.00100e-04 	 -2.74850e-02
30000 	 1.17686e+02 	 -5.39096e-05 	 -2.76321e-02
31000 	 1.17686e+02 	 -8.34451e-06 	 -2.73841e-02
32000 	 1.17686e+02 	 3.40137e-05 	 -2.71499e-02
