# r-coordinate 	 ur 	 utheta
1.95462e+02 	 -6.16518e-03 	 -7.24008e-06
1.96690e+02 	 -6.06702e-03 	 -7.04926e-06
1.97926e+02 	 -5.97020e-03 	 -6.86457e-06
1.99170e+02 	 -5.87473e-03 	 -6.68576e-06
2.00421e+02 	 -5.78063e-03 	 -6.51258e-06
2.01681e+02 	 -5.68789e-03 	 -6.34482e-06
2.02948e+02 	 -5.59651e-03 	 -6.18224e-06
2.04223e+02 	 -5.50649e-03 	 -6.02465e-06
2.05506e+02 	 -5.41783e-03 	 -5.87184e-06
2.06797e+02 	 -5.33053e-03 	 -5.72363e-06
2.08097e+02 	 -5.24456e-03 	 -5.57985e-06
2.09404e+02 	 -5.15992e-03 	 -5.44032e-06
2.10720e+02 	 -5.07661e-03 	 -5.30487e-06
2.12044e+02 	 -4.99460e-03 	 -5.17337e-06
2.13376e+02 	 -4.91389e-03 	 -5.04565e-06
2.14717e+02 	 -4.83445e-03 	 -4.92158e-06
2.16066e+02 	 -4.75628e-03 	 -4.80103e-06
2.17424e+02 	 -4.67935e-03 	 -4.68387e-06
2.18790e+02 	 -4.60365e-03 	 -4.56998e-06
2.20164e+02 	 -4.52917e-03 	 -4.45924e-06
2.21548e+02 	 -4.45588e-03 	 -4.35154e-06
2.22940e+02 	 -4.38377e-03 	 -4.24677e-06
2.24341e+02 	 -4.31281e-03 	 -4.14485e-06
2.25750e+02 	 -4.24300e-03 	 -4.04565e-06
2.27169e+02 	 -4.17431e-03 	 -3.94911e-06
2.28596e+02 	 -4.10673e-03 	 -3.85512e-06
2.30032e+02 	 -4.04023e-03 	 -3.76360e-06
2.31478e+02 	 -3.97480e-03 	 -3.67447e-06
2.32932e+02 	 -3.91042e-03 	 -3.58765e-06
2.34396e+02 	 -3.84707e-03 	 -3.50307e-06
2.35868e+02 	 -3.78474e-03 	 -3.42065e-06
2.37350e+02 	 -3.72341e-03 	 -3.34033e-06
2.38842e+02 	 -3.66305e-03 	 -3.26204e-06
2.40342e+02 	 -3.60366e-03 	 -3.18572e-06
2.41852e+02 	 -3.54522e-03 	 -3.11130e-06
2.43372e+02 	 -3.48771e-03 	 -3.03872e-06
2.44901e+02 	 -3.43110e-03 	 -2.96794e-06
2.46440e+02 	 -3.37540e-03 	 -2.89889e-06
2.47988e+02 	 -3.32058e-03 	 -2.83153e-06
2.49547e+02 	 -3.26662e-03 	 -2.76580e-06
2.51114e+02 	 -3.21352e-03 	 -2.70165e-06
2.52692e+02 	 -3.16125e-03 	 -2.63904e-06
2.54280e+02 	 -3.10980e-03 	 -2.57792e-06
2.55878e+02 	 -3.05916e-03 	 -2.51824e-06
2.57485e+02 	 -3.00931e-03 	 -2.45998e-06
2.59103e+02 	 -2.96024e-03 	 -2.40307e-06
2.60731e+02 	 -2.91193e-03 	 -2.34750e-06
2.62369e+02 	 -2.86438e-03 	 -2.29321e-06
2.64018e+02 	 -2.81756e-03 	 -2.24017e-06
2.65677e+02 	 -2.77147e-03 	 -2.18834e-06
2.67346e+02 	 -2.72609e-03 	 -2.13770e-06
2.69026e+02 	 -2.68142e-03 	 -2.08821e-06
2.70716e+02 	 -2.63743e-03 	 -2.03983e-06
2.72417e+02 	 -2.59411e-03 	 -1.99253e-06
2.74129e+02 	 -2.55147e-03 	 -1.94629e-06
2.75851e+02 	 -2.50947e-03 	 -1.90107e-06
2.77584e+02 	 -2.46812e-03 	 -1.85685e-06
2.79329e+02 	 -2.42740e-03 	 -1.81360e-06
2.81084e+02 	 -2.38731e-03 	 -1.77128e-06
2.82850e+02 	 -2.34782e-03 	 -1.72989e-06
2.84627e+02 	 -2.30893e-03 	 -1.68939e-06
2.86415e+02 	 -2.27064e-03 	 -1.64975e-06
2.88215e+02 	 -2.23292e-03 	 -1.61096e-06
2.90026e+02 	 -2.19577e-03 	 -1.57298e-06
2.91848e+02 	 -2.15919e-03 	 -1.53581e-06
2.93682e+02 	 -2.12315e-03 	 -1.49941e-06
2.95527e+02 	 -2.08766e-03 	 -1.46376e-06
2.97384e+02 	 -2.05271e-03 	 -1.42885e-06
2.99252e+02 	 -2.01828e-03 	 -1.39465e-06
3.01133e+02 	 -1.98436e-03 	 -1.36115e-06
3.03025e+02 	 -1.95096e-03 	 -1.32832e-06
3.04929e+02 	 -1.91805e-03 	 -1.29615e-06
3.06845e+02 	 -1.88564e-03 	 -1.26463e-06
3.08773e+02 	 -1.85371e-03 	 -1.23372e-06
3.10713e+02 	 -1.82225e-03 	 -1.20342e-06
3.12665e+02 	 -1.79127e-03 	 -1.17371e-06
3.14630e+02 	 -1.76074e-03 	 -1.14457e-06
3.16606e+02 	 -1.73067e-03 	 -1.11599e-06
3.18596e+02 	 -1.70105e-03 	 -1.08795e-06
3.20598e+02 	 -1.67186e-03 	 -1.06044e-06
3.22612e+02 	 -1.64311e-03 	 -1.03344e-06
3.24639e+02 	 -1.61479e-03 	 -1.00694e-06
3.26679e+02 	 -1.58688e-03 	 -9.80923e-07
3.28731e+02 	 -1.55939e-03 	 -9.55379e-07
3.30797e+02 	 -1.53230e-03 	 -9.30293e-07
3.32875e+02 	 -1.50561e-03 	 -9.05654e-07
3.34967e+02 	 -1.47932e-03 	 -8.81447e-07
3.37071e+02 	 -1.45342e-03 	 -8.57662e-07
3.39189e+02 	 -1.42789e-03 	 -8.34287e-07
3.41320e+02 	 -1.40275e-03 	 -8.11309e-07
3.43465e+02 	 -1.37797e-03 	 -7.88718e-07
3.45623e+02 	 -1.35356e-03 	 -7.66503e-07
3.47795e+02 	 -1.32951e-03 	 -7.44653e-07
3.49980e+02 	 -1.30581e-03 	 -7.23158e-07
3.52179e+02 	 -1.28246e-03 	 -7.02008e-07
3.54392e+02 	 -1.25946e-03 	 -6.81192e-07
3.56618e+02 	 -1.23679e-03 	 -6.60701e-07
3.58859e+02 	 -1.21445e-03 	 -6.40526e-07
3.61114e+02 	 -1.19245e-03 	 -6.20658e-07
3.63383e+02 	 -1.17077e-03 	 -6.01087e-07
3.65666e+02 	 -1.14940e-03 	 -5.81804e-07
3.67964e+02 	 -1.12836e-03 	 -5.62803e-07
3.70276e+02 	 -1.10762e-03 	 -5.44073e-07
3.72602e+02 	 -1.08718e-03 	 -5.25608e-07
3.74943e+02 	 -1.06705e-03 	 -5.07399e-07
3.77299e+02 	 -1.04722e-03 	 -4.89438e-07
3.79670e+02 	 -1.02767e-03 	 -4.71719e-07
3.82055e+02 	 -1.00842e-03 	 -4.54234e-07
3.84456e+02 	 -9.89446e-04 	 -4.36976e-07
3.86871e+02 	 -9.70755e-04 	 -4.19938e-07
3.89302e+02 	 -9.52341e-04 	 -4.03114e-07
3.91748e+02 	 -9.34198e-04 	 -3.86497e-07
3.94210e+02 	 -9.16325e-04 	 -3.70081e-07
3.96687e+02 	 -8.98716e-04 	 -3.53860e-07
3.99179e+02 	 -8.81369e-04 	 -3.37828e-07
4.01687e+02 	 -8.64280e-04 	 -3.21979e-07
4.04211e+02 	 -8.47444e-04 	 -3.06309e-07
4.06751e+02 	 -8.30860e-04 	 -2.90810e-07
4.09306e+02 	 -8.14523e-04 	 -2.75480e-07
4.11878e+02 	 -7.98430e-04 	 -2.60312e-07
4.14466e+02 	 -7.82578e-04 	 -2.45302e-07
4.17070e+02 	 -7.66964e-04 	 -2.30445e-07
4.19691e+02 	 -7.51585e-04 	 -2.15737e-07
4.22328e+02 	 -7.36437e-04 	 -2.01174e-07
4.24981e+02 	 -7.21518e-04 	 -1.86751e-07
4.27652e+02 	 -7.06824e-04 	 -1.72465e-07
4.30339e+02 	 -6.92354e-04 	 -1.58312e-07
4.33042e+02 	 -6.78103e-04 	 -1.44289e-07
4.35763e+02 	 -6.64069e-04 	 -1.30393e-07
4.38501e+02 	 -6.50250e-04 	 -1.16620e-07
4.41257e+02 	 -6.36642e-04 	 -1.02967e-07
4.44029e+02 	 -6.23244e-04 	 -8.94312e-08
4.46819e+02 	 -6.10052e-04 	 -7.60108e-08
4.49626e+02 	 -5.97064e-04 	 -6.27032e-08
4.52451e+02 	 -5.84278e-04 	 -4.95060e-08
4.55294e+02 	 -5.71690e-04 	 -3.64174e-08
4.58155e+02 	 -5.59300e-04 	 -2.34355e-08
4.61034e+02 	 -5.47104e-04 	 -1.05587e-08
4.63930e+02 	 -5.35100e-04 	 2.21431e-09
4.66845e+02 	 -5.23286e-04 	 1.48848e-08
4.69779e+02 	 -5.11660e-04 	 2.74539e-08
4.72730e+02 	 -5.00219e-04 	 3.99222e-08
4.75701e+02 	 -4.88961e-04 	 5.22904e-08
4.78690e+02 	 -4.77885e-04 	 6.45589e-08
4.81697e+02 	 -4.66987e-04 	 7.67279e-08
4.84724e+02 	 -4.56267e-04 	 8.87974e-08
4.87769e+02 	 -4.45722e-04 	 1.00767e-07
4.90834e+02 	 -4.35351e-04 	 1.12636e-07
4.93918e+02 	 -4.25150e-04 	 1.24405e-07
4.97022e+02 	 -4.15119e-04 	 1.36072e-07
5.00144e+02 	 -4.05256e-04 	 1.47635e-07
5.03287e+02 	 -3.95558e-04 	 1.59095e-07
5.06449e+02 	 -3.86025e-04 	 1.70448e-07
5.09631e+02 	 -3.76653e-04 	 1.81694e-07
5.12833e+02 	 -3.67442e-04 	 1.92830e-07
5.16056e+02 	 -3.58390e-04 	 2.03854e-07
5.19298e+02 	 -3.49495e-04 	 2.14764e-07
5.22561e+02 	 -3.40755e-04 	 2.25556e-07
5.25844e+02 	 -3.32169e-04 	 2.36228e-07
5.29148e+02 	 -3.23734e-04 	 2.46776e-07
5.32473e+02 	 -3.15451e-04 	 2.57197e-07
5.35819e+02 	 -3.07316e-04 	 2.67488e-07
5.39185e+02 	 -2.99329e-04 	 2.77643e-07
5.42573e+02 	 -2.91488e-04 	 2.87658e-07
5.45982e+02 	 -2.83791e-04 	 2.97530e-07
5.49413e+02 	 -2.76237e-04 	 3.07254e-07
5.52865e+02 	 -2.68825e-04 	 3.16823e-07
5.56339e+02 	 -2.61552e-04 	 3.26233e-07
5.59834e+02 	 -2.54417e-04 	 3.35478e-07
5.63352e+02 	 -2.47420e-04 	 3.44553e-07
5.66891e+02 	 -2.40558e-04 	 3.53450e-07
5.70453e+02 	 -2.33831e-04 	 3.62164e-07
5.74037e+02 	 -2.27236e-04 	 3.70688e-07
5.77644e+02 	 -2.20772e-04 	 3.79014e-07
5.81274e+02 	 -2.14439e-04 	 3.87135e-07
5.84926e+02 	 -2.08234e-04 	 3.95044e-07
5.88601e+02 	 -2.02156e-04 	 4.02733e-07
5.92299e+02 	 -1.96204e-04 	 4.10194e-07
5.96021e+02 	 -1.90377e-04 	 4.17417e-07
5.99766e+02 	 -1.84672e-04 	 4.24395e-07
6.03534e+02 	 -1.79090e-04 	 4.31118e-07
6.07326e+02 	 -1.73627e-04 	 4.37577e-07
6.11142e+02 	 -1.68284e-04 	 4.43761e-07
6.14982e+02 	 -1.63059e-04 	 4.49663e-07
6.18846e+02 	 -1.57949e-04 	 4.55270e-07
6.22735e+02 	 -1.52955e-04 	 4.60573e-07
6.26647e+02 	 -1.48075e-04 	 4.65561e-07
6.30585e+02 	 -1.43307e-04 	 4.70223e-07
6.34547e+02 	 -1.38649e-04 	 4.74548e-07
6.38534e+02 	 -1.34102e-04 	 4.78523e-07
6.42546e+02 	 -1.29663e-04 	 4.82138e-07
6.46583e+02 	 -1.25330e-04 	 4.85380e-07
6.50646e+02 	 -1.21103e-04 	 4.88237e-07
6.54734e+02 	 -1.16981e-04 	 4.90697e-07
6.58848e+02 	 -1.12961e-04 	 4.92746e-07
6.62987e+02 	 -1.09043e-04 	 4.94372e-07
6.67153e+02 	 -1.05225e-04 	 4.95561e-07
6.71345e+02 	 -1.01506e-04 	 4.96301e-07
6.75563e+02 	 -9.78840e-05 	 4.96578e-07
6.79808e+02 	 -9.43581e-05 	 4.96377e-07
6.84079e+02 	 -9.09269e-05 	 4.95685e-07
6.88377e+02 	 -8.75890e-05 	 4.94489e-07
6.92702e+02 	 -8.43429e-05 	 4.92773e-07
6.97055e+02 	 -8.11872e-05 	 4.90523e-07
7.01434e+02 	 -7.81207e-05 	 4.87726e-07
7.05842e+02 	 -7.51417e-05 	 4.84367e-07
7.10277e+02 	 -7.22491e-05 	 4.80430e-07
7.14739e+02 	 -6.94413e-05 	 4.75902e-07
7.19230e+02 	 -6.67169e-05 	 4.70768e-07
7.23749e+02 	 -6.40745e-05 	 4.65013e-07
7.28297e+02 	 -6.15127e-05 	 4.58622e-07
7.32873e+02 	 -5.90300e-05 	 4.51582e-07
7.37478e+02 	 -5.66251e-05 	 4.43877e-07
7.42111e+02 	 -5.42965e-05 	 4.35494e-07
7.46774e+02 	 -5.20427e-05 	 4.26417e-07
7.51466e+02 	 -4.98624e-05 	 4.16633e-07
7.56188e+02 	 -4.77541e-05 	 4.06128e-07
7.60939e+02 	 -4.57164e-05 	 3.94888e-07
7.65720e+02 	 -4.37478e-05 	 3.82900e-07
7.70531e+02 	 -4.18468e-05 	 3.70150e-07
7.75373e+02 	 -4.00122e-05 	 3.56625e-07
7.80245e+02 	 -3.82424e-05 	 3.42313e-07
7.85147e+02 	 -3.65360e-05 	 3.27203e-07
7.90080e+02 	 -3.48916e-05 	 3.11281e-07
7.95044e+02 	 -3.33078e-05 	 2.94536e-07
8.00040e+02 	 -3.17831e-05 	 2.76959e-07
8.05067e+02 	 -3.03161e-05 	 2.58538e-07
8.10125e+02 	 -2.89055e-05 	 2.39265e-07
8.15215e+02 	 -2.75499e-05 	 2.19129e-07
8.20337e+02 	 -2.62477e-05 	 1.98123e-07
8.25492e+02 	 -2.49978e-05 	 1.76239e-07
8.30678e+02 	 -2.37986e-05 	 1.53470e-07
8.35898e+02 	 -2.26489e-05 	 1.29810e-07
8.41150e+02 	 -2.15472e-05 	 1.05254e-07
8.46435e+02 	 -2.04923e-05 	 7.97979e-08
8.51753e+02 	 -1.94827e-05 	 5.34379e-08
8.57105e+02 	 -1.85173e-05 	 2.61720e-08
8.62490e+02 	 -1.75946e-05 	 -2.00104e-09
8.67910e+02 	 -1.67134e-05 	 -3.10814e-08
8.73363e+02 	 -1.58725e-05 	 -6.10679e-08
8.78850e+02 	 -1.50705e-05 	 -9.19583e-08
8.84372e+02 	 -1.43062e-05 	 -1.23749e-07
8.89929e+02 	 -1.35783e-05 	 -1.56435e-07
8.95521e+02 	 -1.28858e-05 	 -1.90010e-07
9.01147e+02 	 -1.22273e-05 	 -2.24467e-07
9.06809e+02 	 -1.16017e-05 	 -2.59795e-07
9.12507e+02 	 -1.10079e-05 	 -2.95985e-07
9.18240e+02 	 -1.04447e-05 	 -3.33024e-07
9.24010e+02 	 -9.91095e-06 	 -3.70898e-07
9.29816e+02 	 -9.40563e-06 	 -4.09591e-07
9.35658e+02 	 -8.92765e-06 	 -4.49085e-07
9.41537e+02 	 -8.47594e-06 	 -4.89362e-07
9.47453e+02 	 -8.04948e-06 	 -5.30399e-07
9.53406e+02 	 -7.64726e-06 	 -5.72174e-07
9.59396e+02 	 -7.26830e-06 	 -6.14663e-07
9.65424e+02 	 -6.91162e-06 	 -6.57836e-07
9.71490e+02 	 -6.57630e-06 	 -7.01667e-07
9.77594e+02 	 -6.26141e-06 	 -7.46122e-07
9.83736e+02 	 -5.96607e-06 	 -7.91169e-07
9.89917e+02 	 -5.68939e-06 	 -8.36773e-07
9.96137e+02 	 -5.43054e-06 	 -8.82894e-07
1.00240e+03 	 -5.18869e-06 	 -9.29494e-07
1.00869e+03 	 -4.96305e-06 	 -9.76529e-07
1.01503e+03 	 -4.75284e-06 	 -1.02396e-06
1.02141e+03 	 -4.55730e-06 	 -1.07173e-06
1.02783e+03 	 -4.37572e-06 	 -1.11979e-06
1.03429e+03 	 -4.20737e-06 	 -1.16810e-06
1.04078e+03 	 -4.05160e-06 	 -1.21659e-06
1.04732e+03 	 -3.90772e-06 	 -1.26522e-06
1.05390e+03 	 -3.77512e-06 	 -1.31392e-06
1.06053e+03 	 -3.65318e-06 	 -1.36263e-06
1.06719e+03 	 -3.54130e-06 	 -1.41128e-06
1.07389e+03 	 -3.43892e-06 	 -1.45982e-06
1.08064e+03 	 -3.34550e-06 	 -1.50816e-06
1.08743e+03 	 -3.26050e-06 	 -1.55624e-06
1.09426e+03 	 -3.18343e-06 	 -1.60399e-06
1.10114e+03 	 -3.11380e-06 	 -1.65132e-06
1.10806e+03 	 -3.05115e-06 	 -1.69816e-06
1.11502e+03 	 -2.99504e-06 	 -1.74443e-06
1.12203e+03 	 -2.94504e-06 	 -1.79004e-06
1.12908e+03 	 -2.90074e-06 	 -1.83490e-06
1.13617e+03 	 -2.86177e-06 	 -1.87894e-06
1.14331e+03 	 -2.82775e-06 	 -1.92205e-06
1.15049e+03 	 -2.79834e-06 	 -1.96415e-06
1.15772e+03 	 -2.77320e-06 	 -2.00513e-06
1.16500e+03 	 -2.75201e-06 	 -2.04491e-06
1.17232e+03 	 -2.73447e-06 	 -2.08338e-06
1.17968e+03 	 -2.72029e-06 	 -2.12044e-06
1.18709e+03 	 -2.70921e-06 	 -2.15598e-06
1.19455e+03 	 -2.70098e-06 	 -2.18992e-06
1.20206e+03 	 -2.69533e-06 	 -2.22213e-06
1.20961e+03 	 -2.69205e-06 	 -2.25250e-06
1.21721e+03 	 -2.69093e-06 	 -2.28094e-06
1.22486e+03 	 -2.69174e-06 	 -2.30733e-06
1.23256e+03 	 -2.69431e-06 	 -2.33156e-06
1.24030e+03 	 -2.69845e-06 	 -2.35352e-06
1.24809e+03 	 -2.70398e-06 	 -2.37309e-06
1.25594e+03 	 -2.71075e-06 	 -2.39016e-06
1.26383e+03 	 -2.71861e-06 	 -2.40461e-06
1.27177e+03 	 -2.72740e-06 	 -2.41634e-06
1.27976e+03 	 -2.73700e-06 	 -2.42523e-06
1.28780e+03 	 -2.74727e-06 	 -2.43116e-06
1.29589e+03 	 -2.75810e-06 	 -2.43403e-06
1.30403e+03 	 -2.76937e-06 	 -2.43372e-06
